Adjective,Name,ID,Condition,Context,Target,VPinf
fortunate,Sue,17-fortunate-CnD,CnD,Sue was visiting New York.,She shared a room in a seedy hostel.,to share a room in a seedy hostel
fortunate,Sue,17-fortunate-CxC,CxC,Sue needed a present for her sick friend.,She had a flower bouquet.,to have a flower bouquet
fortunate,Sue,17-fortunate-CxD,CxD,Sue is allergic to pollen.,She had a flower bouquet.,to have a flower bouquet
fortunate,Sue,18-fortunate-CnC,CnC,Sue had a backstage pass for a Beyonce concert.,She got to chat with Beyonce.,to get to chat with Beyonce
fortunate,Sue,18-fortunate-CnD,CnD,Sue had a backstage pass for a Beyonce concert.,She was kicked out by a bouncer.,to be kicked out by a bouncer
fortunate,Sue,18-fortunate-CxC,CxC,Sue needed to get some rest.,She fell asleep.,to fall asleep
fortunate,Sue,18-fortunate-CxD,CxD,Sue was at her best friend's wedding.,She fell asleep.,to fall asleep
brave,Greg,19-brave-CnC,CnC,Greg saw a child drowning in a river.,He jumped into the river.,to jump into the river
brave,Greg,19-brave-CnD,CnD,Greg saw a child drowning in a river.,He watched from the river bank.,to watch from the river bank
brave,Greg,19-brave-CxC,CxC,Greg suffers from depression.,He admitted it.,to admit it
brave,Greg,19-brave-CxD,CxD,Greg forgot to shave this morning.,He admitted it.,to admit it
brave,Greg,20-brave-CnC,CnC,Greg witnessed a knife fight.,He pulled the fighters apart.,to pull the fighters apart
brave,Greg,20-brave-CnD,CnD,Greg witnessed a knife fight.,He watched from a safe distance.,to watch from a safe distance
brave,Greg,20-brave-CxC,CxC,Greg was asked to speak up against the crime boss.,He agreed to do it.,to agree to do it
brave,Greg,20-brave-CxD,CxD,Greg was asked to help his friend move.,He agreed to do it.,to agree to do it
brave,Greg,21-brave-CnC,CnC,Greg had a traumatic experience in the war.,He talked about what he went through.,to talk about what he went through
brave,Greg,21-brave-CnD,CnD,Greg had a traumatic experience in the war.,He refused to talk about what he went through.,to refuse to talk about what he went through
brave,Greg,21-brave-CxC,CxC,Greg was offered a job as a lion tamer.,He took the job.,to take the job
brave,Greg,21-brave-CxD,CxD,Greg was asked to mow his neighbor's lawn.,He took the job.,to take the job
brave,Greg,22-brave-CnC,CnC,Greg saw a man hit a dog.,He stood up to the man.,to stand up to the man
brave,Greg,22-brave-CnD,CnD,Greg saw a man hit a dog.,He walked away.,to walk away
brave,Greg,22-brave-CxC,CxC,Greg was being attacked by five men.,He took them on.,to take them on
brave,Greg,22-brave-CxD,CxD,Greg was being tickled by two small boys.,He took them on.,to take them on
brave,Greg,23-brave-CnC,CnC,Greg wrote a controversial article.,He used his own name.,to use his own name
brave,Greg,23-brave-CnD,CnD,Greg wrote a controversial article.,He used a fake name.,to use a fake name
brave,Greg,23-brave-CxC,CxC,Greg had to travel through Iraq alone.,He made the trip.,to make the trip
brave,Greg,23-brave-CxD,CxD,Greg wanted to get some milk from the corner store.,He made the trip.,to make the trip
brave,Greg,24-brave-CnC,CnC,Greg was attacked last year.,He faced his attacker in court.,to face his attacker in court
brave,Greg,24-brave-CnD,CnD,Greg was attacked last year.,He cried during the attack.,to cry during the attack
brave,Greg,24-brave-CxC,CxC,Greg did two tours in Afghanistan.,He shared his story.,to share his story
brave,Greg,24-brave-CxD,CxD,Greg spent some days on the beach in Hawaii.,He shared his story.,to share his story
lucky,Eve,25-lucky-CnC,CnC,Eve didn't hear her alarm clock this morning.,She was on vacation.,to be on vacation
lucky,Eve,25-lucky-CnD,CnD,Eve didn't hear her alarm clock this morning.,She had an important meeting at 8am.,to have an important meeting at 8am
lucky,Eve,25-lucky-CxC,CxC,Eve thought she saw her father drown.,She was just hallucinating.,to be just hallucinating
lucky,Eve,25-lucky-CxD,CxD,Eve thought she found water in the desert.,She was just hallucinating.,to be just hallucinating
lucky,Eve,26-lucky-CnC,CnC,Eve was going to Hawaii on vacation.,She got a room with a view of the beach.,to get a room with a view of the beach
lucky,Eve,26-lucky-CnD,CnD,Eve was going to Hawaii on vacation.,She missed her flight.,to miss her flight
lucky,Eve,26-lucky-CxC,CxC,Eve sold her house in a recession.,She broke even.,to break even
lucky,Eve,26-lucky-CxD,CxD,Eve wrote a bestselling novel.,She broke even.,to break even
lucky,Eve,27-lucky-CnC,CnC,Eve was attacked last night.,She escaped her attackers.,to escape her attackers
lucky,Eve,27-lucky-CnD,CnD,Eve was attacked last night.,She was stabbed in the leg.,to be stabbed in the leg
lucky,Eve,27-lucky-CxC,CxC,Eve was a finalist in The Bachelor.,She was chosen.,to be chosen
lucky,Eve,27-lucky-CxD,CxD,Eve was called in for jury duty.,She was chosen.,to be chosen
lucky,Eve,28-lucky-CnC,CnC,Eve bought a raffle ticket. ,She won the first prize.,to win the first prize
lucky,Eve,28-lucky-CnD,CnD,Eve bought a raffle ticket. ,She lost it the next day.,to lose it the next day
lucky,Eve,28-lucky-CxC,CxC,Eve has a 5th grade education.,She got a minimum wage job,to get a minimum wage job
lucky,Eve,28-lucky-CxD,CxD,Eve has a first rate college education.,She got a minimum wage job,to get a minimum wage job
lucky,Eve,29-lucky-CnC,CnC,Eve wanted to be a model.,She had beautiful skin.,to have beautiful skin
lucky,Eve,29-lucky-CnD,CnD,Eve wanted to be a model.,She had bad skin.,to have bad skin
lucky,Eve,29-lucky-CxC,CxC,Eve was playing tennis against a pro.,She won two games.,to win two games
lucky,Eve,29-lucky-CxD,CxD,Eve was playing Connect Four against a child.,She won two games.,to win two games
lucky,Eve,30-lucky-CnC,CnC,Eve was in a car accident.,She got away unscathed.,to get away unscathed
lucky,Eve,30-lucky-CnD,CnD,Eve was in a car accident.,She broke her neck.,to break her neck
lucky,Eve,30-lucky-CxC,CxC,Eve did not understand her chemistry class.,She got a B.,to get a B
lucky,Eve,30-lucky-CxD,CxD,Eve was the best student in this class.,She got a B.,to get a B
wise,Paul,31-wise-CnC,CnC,Paul lost his wallet with his credit cards.,He canceled the credit cards immediately.,to cancel the credit cards immediately
wise,Paul,31-wise-CnD,CnD,Paul lost his wallet with his credit cards.,He waited a week to cancel the credit cards.,to wait a week to cancel the credit cards
wise,Paul,31-wise-CxC,CxC,Paul bought an expensive TV.,He asked about the return policy.,to ask about the return policy
wise,Paul,31-wise-CxD,CxD,Paul bought some heroin from a street dealer.,He asked about the return policy.,to ask about the return policy
wise,Paul,32-wise-CnC,CnC,Paul went on a long hike.,He brought plenty of water.,to bring plenty of water
wise,Paul,32-wise-CnD,CnD,Paul went on a long hike.,He wore his flip-flops.,to wear his flip-flops
wise,Paul,32-wise-CxC,CxC,Paul was being mugged.,He started yelling loudly.,to start yelling loudly
wise,Paul,32-wise-CxD,CxD,Paul was attending a church service.,He started yelling loudly.,to start yelling loudly
wise,Paul,33-wise-CnC,CnC,Paul ran a marathon on Sunday.,He went to bed early the night before.,to go to bed early the night before
wise,Paul,33-wise-CnD,CnD,Paul ran a marathon on Sunday.,He got very drunk the night before.,to get very drunk the night before
wise,Paul,33-wise-CxC,CxC,Paul went on a hike in the Alps.,He wore hiking boots.,to wear hiking boots
wise,Paul,33-wise-CxD,CxD,Paul went into the public pool.,He wore hiking boots.,to wear hiking boots
wise,Paul,34-wise-CnC,CnC,Paul's parents were fighting.,He stayed out of it.,to stay out of it
wise,Paul,34-wise-CnD,CnD,Paul's parents were fighting.,He got involved.,to get involved
wise,Paul,34-wise-CxC,CxC,Paul was burnt out from work.,He took a vacation.,to take a vacation
wise,Paul,34-wise-CxD,CxD,Paul was in danger of being laid off.,He took a vacation.,to take a vacation
wise,Paul,35-wise-CnC,CnC,Paul was staying in a bad part of town.,He stayed at home at night.,to stay at home at night
wise,Paul,35-wise-CnD,CnD,Paul was staying in a bad part of town.,He went out alone at night.,to go out alone at night
wise,Paul,35-wise-CxC,CxC,Paul was asked to commit a crime.,He refused.,to refuse
wise,Paul,35-wise-CxD,CxD,Paul was offered a great promotion.,He refused.,to refuse
wise,Paul,36-wise-CnC,CnC,Paul had the flu.,He stayed in bed.,to stay in bed
wise,Paul,36-wise-CnD,CnD,Paul had the flu.,He went to work.,to go to work
wise,Paul,36-wise-CxC,CxC,Paul wanted to keep his excellent employee happy.,He promoted her.,to promote her
wise,Paul,36-wise-CxD,CxD,Paul had an inefficient employee.,He promoted her.,to promote her
foolish,Kate,37-foolish-CnC,CnC,Kate was working a very stressful job.,She ignored her health problems.,to ignore her health problems
foolish,Kate,37-foolish-CnD,CnD,Kate was working a very stressful job.,She took relaxation classes.,to take relaxation classes
foolish,Kate,37-foolish-CxC,CxC,Kate was completely broke.,She went shopping.,to go shopping
foolish,Kate,37-foolish-CxD,CxD,Kate needed a new dress.,She went shopping.,to go shopping
foolish,Kate,38-foolish-CnC,CnC,Kate read a fantasy novel.,She believed in vampires.,to believe in vampires
foolish,Kate,38-foolish-CnD,CnD,Kate read a fantasy novel.,She read it on her vacation.,to read it on her vacation
foolish,Kate,38-foolish-CxC,CxC,Kate had a broken ankle.,She went for a run.,to go for a run
foolish,Kate,38-foolish-CxD,CxD,Kate wanted to exercise.,She went for a run.,to go for a run
foolish,Kate,39-foolish-CnC,CnC,Kate went on a beach vacation.,She worked insane hours every day.,to work insane hours every day
foolish,Kate,39-foolish-CnD,CnD,Kate went on a beach vacation.,She brought a lot of sun screen.,to bring a lot of sun screen
foolish,Kate,39-foolish-CxC,CxC,Kate was drunk at a bar.,She took her top off.,to take her top off
foolish,Kate,39-foolish-CxD,CxD,Kate was getting a breast exam.,She took her top off.,to take her top off
foolish,Kate,40-foolish-CnC,CnC,Kate's favorite shampoo was on sale.,She bought fifty bottles.,to buy fifty bottles
foolish,Kate,40-foolish-CnD,CnD,Kate's favorite shampoo was on sale.,She bought two bottles.,to buy two bottles
foolish,Kate,40-foolish-CxC,CxC,Kate was watching a movie.,She wore sun glasses.,to wear sun glasses
foolish,Kate,40-foolish-CxD,CxD,Kate went to the beach.,She wore sun glasses.,to wear sun glasses
foolish,Kate,41-foolish-CnC,CnC,Kate's doctor told her to lose weight.,She ignored him.,to ignore him
foolish,Kate,41-foolish-CnD,CnD,Kate's doctor told her to lose weight.,She started exercising.,to start exercising
foolish,Kate,41-foolish-CxC,CxC,Kate has problems with her feet.,She wore high heels.,to wear high heels
foolish,Kate,41-foolish-CxD,CxD,Kate was invited to a formal dinner.,She wore high heels.,to wear high heels
foolish,Kate,42-foolish-CnC,CnC,Kate took her nephew to the playground.,She wore high heels.,to wear high heels
foolish,Kate,42-foolish-CnD,CnD,Kate took her nephew to the playground.,She brought water and a snack.,to bring water and a snack
foolish,Kate,42-foolish-CxC,CxC,Kate can't swim.,She jumped into the water.,to jump into the water
foolish,Kate,42-foolish-CxD,CxD,Kate was feeling very warm.,She jumped into the water.,to jump into the water
polite,Chad,43-polite-CnC,CnC,Chad was visiting his grandmother.,He brought a gift.,to bring a gift
polite,Chad,43-polite-CnD,CnD,Chad was visiting his grandmother.,He insulted her caretaker.,to insult her caretaker
polite,Chad,43-polite-CxC,CxC,Chad's friend wanted to change her clothing.,He closed his eyes.,to close his eyes
polite,Chad,43-polite-CxD,CxD,Chad was in a meeting with his boss.,He closed his eyes.,to close his eyes
polite,Chad,44-polite-CnC,CnC,Chad met his neighbor for the first time.,He asked about his children.,to ask about his children
polite,Chad,44-polite-CnD,CnD,Chad met his neighbor for the first time.,He asked about his income.,to ask about his income
polite,Chad,44-polite-CxC,CxC,Chad was watching a theater play.,He applauded.,to applaud
polite,Chad,44-polite-CxD,CxD,Chad saw an old lady trip on the street.,He applauded.,to applaud
polite,Chad,45-polite-CnC,CnC,Chad was accidentially tripped by a little girl.,He gave her a friendly smile.,to give her a friendly smile
polite,Chad,45-polite-CnD,CnD,Chad was accidentially tripped by a little girl.,He swore at her loudly.,to swear at her loudly
polite,Chad,45-polite-CxC,CxC,Chad watched a street comedian.,He laughed.,to laugh
polite,Chad,45-polite-CxD,CxD,Chad saw an old lady trip on the street.,He laughed.,to laugh
polite,Chad,46-polite-CnC,CnC,Chad was standing in front of his friend's door.,He knocked gently.,to knock gently
polite,Chad,46-polite-CnD,CnD,Chad was standing in front of his friend's door.,He was eavesdropping.,to be eavesdropping
polite,Chad,46-polite-CxC,CxC,Chad was hanging out with an unhappy friend.,He listened for a long time.,to listen for a long time
polite,Chad,46-polite-CxD,CxD,Chad had his ear pressed on his boss' door.,He listened for a long time.,to listen for a long time
polite,Chad,47-polite-CnC,CnC,Chad had insulted his wife.,He apologized.,to apologize
polite,Chad,47-polite-CnD,CnD,Chad had insulted his wife.,He laughed at her tears.,to laugh at her tears
polite,Chad,47-polite-CxC,CxC,Chad was driving very slowly.,He moved to the right.,to move to the right
polite,Chad,47-polite-CxD,CxD,Chad was asked to move to the left.,He moved to the right.,to move to the right
polite,Chad,48-polite-CnC,CnC,Chad was chatting with his friend Betty.,He asked about her children.,to ask about her children
polite,Chad,48-polite-CnD,CnD,Chad was chatting with his friend Betty.,He talked only about himself.,to talk only about himself
polite,Chad,48-polite-CxC,CxC,Chad was introduced to Susan.,He smiled.,to smile
polite,Chad,48-polite-CxD,CxD,Chad heard that his dog died.,He smiled.,to smile
rude,Ann,49-rude-CnC,CnC,Ann was angry at her sister Carol.,She yelled at Carol.,to yell at Carol
rude,Ann,49-rude-CnD,CnD,Ann was angry at her sister Carol.,She explained to Carol what had upset her.,to explain to Carol what had upset her
rude,Ann,49-rude-CxC,CxC,Ann's neighbor greeted her.,She ignored him.,to ignore him
rude,Ann,49-rude-CxD,CxD,Ann's neighbor made an inappropriate comment.,She ignored him.,to ignore him
rude,Ann,50-rude-CnC,CnC,Ann was visiting her older brother.,She insulted his wife.,to insult his wife
rude,Ann,50-rude-CnD,CnD,Ann was visiting her older brother.,She brought a gift.,to bring a gift
rude,Ann,50-rude-CxC,CxC,Ann got reprimanded by her boss.,She ignored him.,to ignore him
rude,Ann,50-rude-CxD,CxD,Ann's boyfriend made fun of her haircut.,She ignored him.,to ignore him
rude,Ann,51-rude-CnC,CnC,Ann was tripped by a little boy.,She swore at him loudly.,to swear at him loudly
rude,Ann,51-rude-CnD,CnD,Ann was tripped by a little boy.,She gave him a friendly smile.,to give him a friendly smile
rude,Ann,51-rude-CxC,CxC,Ann was eating pasta with her friends.,She used her fingers.,to use her fingers
rude,Ann,51-rude-CxD,CxD,Ann untied her shoes.,She used her fingers.,to use her fingers
rude,Ann,52-rude-CnC,CnC,Ann was standing in front of her friend's door.,She was eavesdropping.,to be eavesdropping
rude,Ann,52-rude-CnD,CnD,Ann was standing in front of her friend's door.,She knocked gently.,to knock gently
rude,Ann,52-rude-CxC,CxC,Ann was watching a play. ,She made a call on her cell phone.,to make a call on her cell phone
rude,Ann,52-rude-CxD,CxD,Ann was sitting in a park.,She made a call on her cell phone.,to make a call on her cell phone
rude,Ann,53-rude-CnC,CnC,Ann had insulted her husband.,She laughed at his tears.,to laugh at his tears
rude,Ann,53-rude-CnD,CnD,Ann had insulted her husband.,She apologized.,to apologize
rude,Ann,53-rude-CxC,CxC,Ann was introduced to Samuel.,She frowned.,to frown
rude,Ann,53-rude-CxD,CxD,Ann was stressed out.,She frowned.,to frown
rude,Ann,54-rude-CnC,CnC,Ann was chatting with her friend Mark.,She talked only about herself.,to talk only about herself
rude,Ann,54-rude-CnD,CnD,Ann was chatting with her friend Mark.,She asked about his children.,to ask about his children
rude,Ann,54-rude-CxC,CxC,Ann was eating at a fancy restaurant.,She spoke very loudly.,to speak very loudly
rude,Ann,54-rude-CxD,CxD,Ann was talking to a person hard of hearing.,She spoke very loudly.,to speak very loudly
mean,Jack,55-mean-CnC,CnC,Jack walked past an old man with a cane.,He pushed the man.,to push the man
mean,Jack,55-mean-CnD,CnD,Jack walked past an old man with a cane.,He helped him across the street.,to help him across the street
mean,Jack,55-mean-CxC,CxC,Jack's wife is on a strict diet.,He baked a cake for her.,to bake a cake for her
mean,Jack,55-mean-CxD,CxD,Jack's wife is celebrating her birthday today.,He baked a cake for her.,to bake a cake for her
mean,Jack,56-mean-CnC,CnC,Jack saw a hungry dog.,He pretended to have food for him.,to pretend to have food for him
mean,Jack,56-mean-CnD,CnD,Jack saw a hungry dog.,He fed him a can of food.,to feed him a can of food
mean,Jack,56-mean-CxC,CxC,Jack didn't like the movie his wife was watching.,He turned off the movie.,to turn off the movie
mean,Jack,56-mean-CxD,CxD,Jack's young daughter was watching an R-rated movie.,He turned off the movie.,to turn off the movie
mean,Jack,57-mean-CnC,CnC,Jack's daughter made a mistake in her homework.,He made fun of her.,to make fun of her
mean,Jack,57-mean-CnD,CnD,Jack's daughter made a mistake in her homework.,He helped her fix it.,to help her fix it
mean,Jack,57-mean-CxC,CxC,Jack's customer asked him to drive faster.,He slowed the car down.,to slow the car down
mean,Jack,57-mean-CxD,CxD,Jack's customer asked him to drive slower.,He slowed the car down.,to slow the car down
mean,Jack,58-mean-CnC,CnC,Jack had a date last Sunday.,He stood up his date.,to stand up his date
mean,Jack,58-mean-CnD,CnD,Jack had a date last Sunday.,He paid for dinner.,to pay for dinner
mean,Jack,58-mean-CxC,CxC,Jack's wife wanted to sleep in.,He woke her up at 5am.,to wake her up at 5am
mean,Jack,58-mean-CxD,CxD,Jack's wife had asked him to wake her really early.,He woke her up at 5am.,to wake her up at 5am
mean,Jack,59-mean-CnC,CnC,Jack bumped his shopping cart into a woman.,He laughed when she cried.,to laugh when she cried
mean,Jack,59-mean-CnD,CnD,Jack bumped his shopping cart into a woman.,He apologized to her.,to apologize to her
mean,Jack,59-mean-CxC,CxC,Jack's daughter is lactose intolerant.,He gave her a milk shake.,to give her a milk shake
mean,Jack,59-mean-CxD,CxD,Jack's daughter was a little hungry.,He gave her a milk shake.,to give her a milk shake
mean,Jack,60-mean-CnC,CnC,Jack was watching a movie at the theater.,He kicked the seat in front of him on purpose.,to kick the seat in front of him on purpose
mean,Jack,60-mean-CnD,CnD,Jack was watching a movie at the theater.,He turned off his cell phone.,to turn off his cell phone
mean,Jack,60-mean-CxC,CxC,Jack didn't want to wait his turn.,He cut the line.,to cut the line
mean,Jack,60-mean-CxD,CxD,Jack had to go to the bathroom.,He cut the line.,to cut the line
