workerid,assignmentid,Answer.listNumber,Answer.age,Answer.language,Answer.americanenglish,Answer.comments,variable,value,Trial,List,ID,Condition,Context,Target,Response,Adj,VPinf,ConDissonant
55,3DOCMVPBTNF0XL5DQ7Y5ECI53CONNN,11,32,"""English""","""Yes""","""""",Trial1,12 16-fortunate-CnD CnD Sue_was_training_to_become_a_dancer. She_developed_back_problems. 1 fortunate to_develop_back_problems,1,12,16-fortunate-CnD,CnD,Sue_was_training_to_become_a_dancer.,She_developed_back_problems.,1,fortunate,to_develop_back_problems,D
58,33C7UALJVLZCG7BKFIBOZ8F7BGK81C,11,31,"""english""","""Yes""","""none""",Trial1,filler filler1No filler Earl_had_a_bad_toothache. He_forgot_to_call_his_dentist. 1 forget to_call_his_dentist,1,filler,filler1No,filler,Earl_had_a_bad_toothache.,He_forgot_to_call_his_dentist.,1,forget,to_call_his_dentist,filler
10,3CP1TO84PT20IAAE0O4ZS7FL1WX52O,6,38,"""english""","""Yes""","""""",Trial1,filler filler2No filler Ross_was_doing_his_laundry. He_didn't_manage_to_find_coins_anywhere. 1 manage to_find_coins_anywhere,1,filler,filler2No,filler,Ross_was_doing_his_laundry.,He_didn't_manage_to_find_coins_anywhere.,1,manage,to_find_coins_anywhere,filler
90,3L70J4KAZGNKRQKBS9FXW1MBQ1NAD8,6,57,"""english""","""Yes""","""""",Trial1,7 36-wise-CxC CxC Paul_wanted_to_keep_his_excellent_employee_happy. He_promoted_her. 3 wise to_promote_her,1,7,36-wise-CxC,CxC,Paul_wanted_to_keep_his_excellent_employee_happy.,He_promoted_her.,3,wise,to_promote_her,C
59,39ASUFLU6X81F964ZEIVMRFURYWXER,3,43,"""English""","""Yes""","""Thanks+for+the+hit.""",Trial1,filler filler1Yes filler Fran_lived_in_Paris. She_wasn't_sad_to_live_alone. 7 sad to_live_alone,1,filler,filler1Yes,filler,Fran_lived_in_Paris.,She_wasn't_sad_to_live_alone.,7,sad,to_live_alone,filler
80,3C5W7UE9CFRZRXYHGC6EZZK300NXMG,7,33,"""English""","""Yes""","""Thank+you.""",Trial1,8 28-lucky-CnC CnC Eve_bought_a_raffle_ticket._ She_won_the_first_prize. 1 lucky to_win_the_first_prize,1,8,28-lucky-CnC,CnC,Eve_bought_a_raffle_ticket._,She_won_the_first_prize.,1,lucky,to_win_the_first_prize,C
132,3N1FSUEFL515P14UJ856JY0BYRRD40,1,26,"""English""","""Yes""","""Some+of+the+sentences+were+ambiguous+or+logically+unsound+to+me%2C+which+why+I+responded+neither+%22yes%22+nor+%22no%22.""",Trial1,2 50-rude-CxC CxC Ann_got_reprimanded_by_her_boss. She_ignored_him. 7 rude to_ignore_him,1,2,50-rude-CxC,CxC,Ann_got_reprimanded_by_her_boss.,She_ignored_him.,7,rude,to_ignore_him,C
91,3WETL7AQWT9P3S6X4OI4BHKD7AX53Z,0,35,"""english""","""Yes""","""""",Trial1,1 37-foolish-CxD CxD Kate_needed_a_new_dress. She_went_shopping. 1 foolish to_go_shopping,1,1,37-foolish-CxD,CxD,Kate_needed_a_new_dress.,She_went_shopping.,1,foolish,to_go_shopping,D
151,3C2NJ6JBKAI48ZGK4O0LMOF7SHX2NB,6,22,"""english""","""Yes""","""Quick+and+thorough+experiment+on+the+English+language.""",Trial1,7 51-rude-CxD CxD Ann_untied_her_shoes. She_used_her_fingers. 5 rude to_use_her_fingers,1,7,51-rude-CxD,CxD,Ann_untied_her_shoes.,She_used_her_fingers.,5,rude,to_use_her_fingers,D
37,3YZ8UPK3VTNU17SVYI1DCWGNC43CUM,4,31,"""English""","""Yes""","""interesting+thank+you""",Trial1,filler filler1No filler Earl_had_a_bad_toothache. He_forgot_to_call_his_dentist. 1 forget to_call_his_dentist,1,filler,filler1No,filler,Earl_had_a_bad_toothache.,He_forgot_to_call_his_dentist.,1,forget,to_call_his_dentist,filler
133,3F0BG9B9MPO56ZH4H2QRZVUM7HNY7D,1,23,"""english""","""Yes""","""Thank+you!""",Trial1,2 1-smart-CxD CxD Jane's_neighbor_complained_about_the_loud_music. She_turned_up_the_volume. 7 smart to_turn_up_the_volume,1,2,1-smart-CxD,CxD,Jane's_neighbor_complained_about_the_loud_music.,She_turned_up_the_volume.,7,smart,to_turn_up_the_volume,D
61,3GNA64GUZE5HATCZ2ZU0OPDOH2B5Q2,11,46,"""English""","""Yes""","""""",Trial1,12 56-mean-CnD CnD Jack_saw_a_hungry_dog. He_fed_him_a_can_of_food. 3 mean to_feed_him_a_can_of_food,1,12,56-mean-CnD,CnD,Jack_saw_a_hungry_dog.,He_fed_him_a_can_of_food.,3,mean,to_feed_him_a_can_of_food,D
98,3QRYMNZ7FYIYSYAXN3KHNBOXSUATNU,6,43,"""English""","""Yes""","""It+was+an+interesting+study.""",Trial1,7 36-wise-CxC CxC Paul_wanted_to_keep_his_excellent_employee_happy. He_promoted_her. 2 wise to_promote_her,1,7,36-wise-CxC,CxC,Paul_wanted_to_keep_his_excellent_employee_happy.,He_promoted_her.,2,wise,to_promote_her,C
44,3STRJBFXOWSXKSPUQQS1VJ7TYZ5KTG,7,28,"""english""","""Yes""","""""",Trial1,8 47-polite-CnC CnC Chad_had_insulted_his_wife. He_apologized. 1 polite to_apologize,1,8,47-polite-CnC,CnC,Chad_had_insulted_his_wife.,He_apologized.,1,polite,to_apologize,C
4,3Z3ZLGNNSIVEWEPVOG679SF436L3QB,8,42,"""english""","""Yes""","""none""",Trial1,9 52-rude-CnD CnD Ann_was_standing_in_front_of_her_friend's_door. She_knocked_gently. 1 rude to_knock_gently,1,9,52-rude-CnD,CnD,Ann_was_standing_in_front_of_her_friend's_door.,She_knocked_gently.,1,rude,to_knock_gently,D
130,3GFK2QRXX9IMUQ8LE8T6GEVA53S5W6,1,42,"""English""","""Yes""","""""",Trial1,filler filler3Yes filler Tess_participated_in_a_marathon. She_was_happy_to_cross_the_finish_line. 7 happy to_cross_the_finish_line,1,filler,filler3Yes,filler,Tess_participated_in_a_marathon.,She_was_happy_to_cross_the_finish_line.,7,happy,to_cross_the_finish_line,filler
82,3EA3QWIZ4IW6EXZ6QN7PI3SG6VGIT3,8,26,"""english""","""Yes""","""""",Trial1,9 19-brave-CnD CnD Greg_saw_a_child_drowning_in_a_river. He_watched_from_the_river_bank. 1 brave to_watch_from_the_river_bank,1,9,19-brave-CnD,CnD,Greg_saw_a_child_drowning_in_a_river.,He_watched_from_the_river_bank.,1,brave,to_watch_from_the_river_bank,D
73,3IAEQB9FMELHY3NETEBPEQJ2IKQDWM,8,28,"""English""","""Yes""","""""",Trial1,9 13-fortunate-CnD CnD Sue_was_bitten_by_a_shark. She_lost_a_leg. 1 fortunate to_lose_a_leg,1,9,13-fortunate-CnD,CnD,Sue_was_bitten_by_a_shark.,She_lost_a_leg.,1,fortunate,to_lose_a_leg,D
49,3JRJSWSMQHMPZBZQFPB7FBQQK3WE39,9,39,"""English""","""Yes""","""""",Trial1,filler filler2No filler Ross_was_doing_his_laundry. He_didn't_manage_to_find_coins_anywhere. 1 manage to_find_coins_anywhere,1,filler,filler2No,filler,Ross_was_doing_his_laundry.,He_didn't_manage_to_find_coins_anywhere.,1,manage,to_find_coins_anywhere,filler
103,37ZHEEHM6WN4QWKGSHX191Y9YGS37C,8,24,"""Russian%2C+French""","""Yes""","""""",Trial1,9 13-fortunate-CnD CnD Sue_was_bitten_by_a_shark. She_lost_a_leg. 1 fortunate to_lose_a_leg,1,9,13-fortunate-CnD,CnD,Sue_was_bitten_by_a_shark.,She_lost_a_leg.,1,fortunate,to_lose_a_leg,D
43,3H0W84IWBK3HIDKSQFC3X9T6QHCREQ,2,23,"""ENGLISH""","""Yes""","""""",Trial1,3 28-lucky-CnD CnD Eve_bought_a_raffle_ticket._ She_lost_it_the_next_day. 7 lucky to_lose_it_the_next_day,1,3,28-lucky-CnD,CnD,Eve_bought_a_raffle_ticket._,She_lost_it_the_next_day.,7,lucky,to_lose_it_the_next_day,D
8,3FDJT1UU749VZQE4PUA3S31FIWKK5Q,4,25,"""English""","""Yes""","""""",Trial1,filler filler1No filler Earl_had_a_bad_toothache. He_forgot_to_call_his_dentist. 1 forget to_call_his_dentist,1,filler,filler1No,filler,Earl_had_a_bad_toothache.,He_forgot_to_call_his_dentist.,1,forget,to_call_his_dentist,filler
48,3FTF2T8WLRJ5VDAXHY6NSU0CRZC9W2,3,31,"""English""","""Yes""","""no""",Trial1,filler filler1No filler Earl_had_a_bad_toothache. He_forgot_to_call_his_dentist. 1 forget to_call_his_dentist,1,filler,filler1No,filler,Earl_had_a_bad_toothache.,He_forgot_to_call_his_dentist.,1,forget,to_call_his_dentist,filler
110,3EFE17QCRC6532B7V5KE8MVF4ZOSHW,5,25,"""English""","""Yes""","""None.""",Trial1,6 37-foolish-CnD CnD Kate_was_working_a_very_stressful_job. She_took_relaxation_classes. 7 foolish to_take_relaxation_classes,1,6,37-foolish-CnD,CnD,Kate_was_working_a_very_stressful_job.,She_took_relaxation_classes.,7,foolish,to_take_relaxation_classes,D
12,3BEFOD78W6U8TVA7W1492ON575K4MA,5,52,"""english""","""Yes""","""""",Trial1,6 47-polite-CnD CnD Chad_had_insulted_his_wife. He_laughed_at_her_tears. 7 polite to_laugh_at_her_tears,1,6,47-polite-CnD,CnD,Chad_had_insulted_his_wife.,He_laughed_at_her_tears.,7,polite,to_laugh_at_her_tears,D
114,3OCHAWUVGOL419YEV0TYKMSZBVTXKC,1,52,"""English""","""Yes""","""I+thought+the+questions+were+pretty+direct.""",Trial1,filler filler1Yes filler Fran_lived_in_Paris. She_wasn't_sad_to_live_alone. 7 sad to_live_alone,1,filler,filler1Yes,filler,Fran_lived_in_Paris.,She_wasn't_sad_to_live_alone.,7,sad,to_live_alone,filler
18,3A4TN5196KJPWLMBYJUETHRXIW3CHN,11,24,"""English""","""Yes""","""""",Trial1,12 43-polite-CnC CnC Chad_was_visiting_his_grandmother. He_brought_a_gift. 1 polite to_bring_a_gift,1,12,43-polite-CnC,CnC,Chad_was_visiting_his_grandmother.,He_brought_a_gift.,1,polite,to_bring_a_gift,C
111,3HPZF4IVNMUBIGC08JY2FHM08SGCYM,1,26,"""English""","""Yes""","""""",Trial1,2 50-rude-CxC CxC Ann_got_reprimanded_by_her_boss. She_ignored_him. 5 rude to_ignore_him,1,2,50-rude-CxC,CxC,Ann_got_reprimanded_by_her_boss.,She_ignored_him.,5,rude,to_ignore_him,C
60,3LRLIPTPEQAS5WQLKQ1K0EH1AAMAKN,10,56,"""English""","""Yes""","""It+was+strange!++found+myself+reading+and+re-reading+some+of+the+sentences""",Trial1,11 50-rude-CxD CxD Ann's_boyfriend_made_fun_of_her_haircut. She_ignored_him. 7 rude to_ignore_him,1,11,50-rude-CxD,CxD,Ann's_boyfriend_made_fun_of_her_haircut.,She_ignored_him.,7,rude,to_ignore_him,D
45,30LSNF239UWCUY5T78NTHGJQ6I52IX,9,32,"""english""","""Yes""","""The+sentence+structures+are+very+weird.++I'm+not+sure+if+that's+on+purpose+or+not%2C+but+it's+not+the+way+English+is+usually+spoken+in+the+US.++(Not+sure+it+that's+helpful%2C+but+just+thought+you+should+know.)+""",Trial1,filler filler3Yes filler Tess_participated_in_a_marathon. She_was_happy_to_cross_the_finish_line. 7 happy to_cross_the_finish_line,1,filler,filler3Yes,filler,Tess_participated_in_a_marathon.,She_was_happy_to_cross_the_finish_line.,7,happy,to_cross_the_finish_line,filler
152,39OWYR0EPKSILSWAZLO3NN73558YFJ,6,33,"""english""","""Yes""","""""",Trial1,7 23-brave-CnD CnD Greg_wrote_a_controversial_article. He_used_a_fake_name. 7 brave to_use_a_fake_name,1,7,23-brave-CnD,CnD,Greg_wrote_a_controversial_article.,He_used_a_fake_name.,7,brave,to_use_a_fake_name,D
66,33OOO72IVHMF1UD6YDB370ULTQYTCE,3,21,"""english""","""Yes""","""""",Trial1,4 22-brave-CnC CnC Greg_saw_a_man_hit_a_dog. He_stood_up_to_the_man. 1 brave to_stand_up_to_the_man,1,4,22-brave-CnC,CnC,Greg_saw_a_man_hit_a_dog.,He_stood_up_to_the_man.,1,brave,to_stand_up_to_the_man,C
120,3DR23U6WE5FUYSXKU4HYXOUOE2BTE7,10,26,"""English""","""Yes""","""None""",Trial1,11 50-rude-CxD CxD Ann's_boyfriend_made_fun_of_her_haircut. She_ignored_him. 5 rude to_ignore_him,1,11,50-rude-CxD,CxD,Ann's_boyfriend_made_fun_of_her_haircut.,She_ignored_him.,5,rude,to_ignore_him,D
107,3PW9OPU9PQL1US9VZ12NPH24PGV125,3,28,"""English""","""Yes""","""""",Trial1,filler filler3No filler Liv_went_on_a_trip_to_Europe. She_failed_to_visit_Italy. 1 fail to_visit_Italy,1,filler,filler3No,filler,Liv_went_on_a_trip_to_Europe.,She_failed_to_visit_Italy.,1,fail,to_visit_Italy,filler
124,3NQL1CS15R97HPI0Z0T759APTZWVY4,6,33,"""english""","""Yes""","""""",Trial1,filler filler1Yes filler Fran_lived_in_Paris. She_wasn't_sad_to_live_alone. 5 sad to_live_alone,1,filler,filler1Yes,filler,Fran_lived_in_Paris.,She_wasn't_sad_to_live_alone.,5,sad,to_live_alone,filler
39,324G5B4FB39894LJ9UFI7302V4A07G,7,29,"""English""","""Yes""","""It+was+different+and+very+interesting.""",Trial1,filler filler1No filler Earl_had_a_bad_toothache. He_forgot_to_call_his_dentist. 1 forget to_call_his_dentist,1,filler,filler1No,filler,Earl_had_a_bad_toothache.,He_forgot_to_call_his_dentist.,1,forget,to_call_his_dentist,filler
46,3A9AA95ATWNWAHBK2MFBOKNEC6R5PD,9,28,"""English""","""Yes""","""""",Trial1,filler filler2Yes filler Charles_served_in_Iraq. He_was_proud_to_have_been_a_solider. 7 proud to_have_been_a_soldier,1,filler,filler2Yes,filler,Charles_served_in_Iraq.,He_was_proud_to_have_been_a_solider.,7,proud,to_have_been_a_soldier,filler
3,31Q0U3WYDPG8GT615DJIL8JC0WH17L,10,48,"""English""","""Yes""","""At+first+I+think+I+was+reading+the+questions+the+wrong+way.+It+was+an+interesting+survey.""",Trial1,11 1-smart-CxC CxC Jane's_father_couldn't_hear_the_TV. She_turned_up_the_volume. 1 smart to_turn_up_the_volume,1,11,1-smart-CxC,CxC,Jane's_father_couldn't_hear_the_TV.,She_turned_up_the_volume.,1,smart,to_turn_up_the_volume,C
17,3EWIJTFFVO8TIJ0TW2TODDSJHRE0E2,8,27,"""english""","""Yes""","""""",Trial1,9 8-stupid-CnD CnD Zack_left_the_bar_drunk. He_called_a_taxi. 3 stupid to_call_a_taxi,1,9,8-stupid-CnD,CnD,Zack_left_the_bar_drunk.,He_called_a_taxi.,3,stupid,to_call_a_taxi,D
85,33L7PJKHCGZDPRNTH1VY5EY23ZD8TN,1,23,"""english""","""Yes""","""i+don't+really+understand""",Trial1,2 19-brave-CnC CnC Greg_saw_a_child_drowning_in_a_river. He_jumped_into_the_river. 4 brave to_jump_into_the_river,1,2,19-brave-CnC,CnC,Greg_saw_a_child_drowning_in_a_river.,He_jumped_into_the_river.,4,brave,to_jump_into_the_river,C
101,3BF51CHDTVB52TRVM31UYGPW9760HI,0,19,"""English""","""Yes""","""""",Trial1,1 7-stupid-CxC CxC Zack_had_the_measles. He_went_to_school. 1 stupid to_go_to_school,1,1,7-stupid-CxC,CxC,Zack_had_the_measles.,He_went_to_school.,1,stupid,to_go_to_school,C
53,369J354OFDBMG8IZ4MZTMHNM7AFG60,5,34,"""English""","""Yes""","""fascinating.+I+really+had+to+think+on+the+answers.+Thanks""",Trial1,6 4-smart-CnD CnD Jane_was_baby-sitting_for_her_sister. She_left_the_baby_unattended. 1 smart to_leave_the_baby_unattended,1,6,4-smart-CnD,CnD,Jane_was_baby-sitting_for_her_sister.,She_left_the_baby_unattended.,1,smart,to_leave_the_baby_unattended,D
136,37ZHEEHM6WN4QWKGSHX191Y9YGU37E,11,31,"""English""","""Yes""","""""",Trial1,12 33-wise-CxC CxC Paul_went_on_a_hike_in_the_Alps. He_wore_hiking_boots. 2 wise to_wear_hiking_boots,1,12,33-wise-CxC,CxC,Paul_went_on_a_hike_in_the_Alps.,He_wore_hiking_boots.,2,wise,to_wear_hiking_boots,C
79,3MX2NQ3YC9V1JQDBODPSIX9HE505X1,8,21,"""English""","""Yes""","""""",Trial1,9 13-fortunate-CnD CnD Sue_was_bitten_by_a_shark. She_lost_a_leg. 1 fortunate to_lose_a_leg,1,9,13-fortunate-CnD,CnD,Sue_was_bitten_by_a_shark.,She_lost_a_leg.,1,fortunate,to_lose_a_leg,D
118,3YGXWBAF70IVK9YGJCAVZSITDRI4CU,11,23,"""English""","""Yes""","""""",Trial1,12 3-smart-CxC CxC Jane_wanted_to_get_a_good_job. She_went_to_school. 2 smart to_go_to_school,1,12,3-smart-CxC,CxC,Jane_wanted_to_get_a_good_job.,She_went_to_school.,2,smart,to_go_to_school,C
144,39LNWE0K4UXLEAEVQSXZNZEIP9PIUW,0,37,"""english""","""Yes""","""""",Trial1,filler filler2No filler Ross_was_doing_his_laundry. He_didn't_manage_to_find_coins_anywhere. 1 manage to_find_coins_anywhere,1,filler,filler2No,filler,Ross_was_doing_his_laundry.,He_didn't_manage_to_find_coins_anywhere.,1,manage,to_find_coins_anywhere,filler
68,3LRKMWOKB5IYPOU37CBFHBMG2V72ZU,6,23,"""English""","""Yes""","""""",Trial1,filler filler2Yes filler Charles_served_in_Iraq. He_was_proud_to_have_been_a_solider. 6 proud to_have_been_a_soldier,1,filler,filler2Yes,filler,Charles_served_in_Iraq.,He_was_proud_to_have_been_a_solider.,6,proud,to_have_been_a_soldier,filler
106,3P1L2B7AD1QSR624F9I3G9ELORVLO0,10,24,"""English""","""Yes""","""""",Trial1,11 31-wise-CnC CnC Paul_lost_his_wallet_with_his_credit_cards. He_canceled_the_credit_cards_immediately. 7 wise to_cancel_the_credit_cards_immediately,1,11,31-wise-CnC,CnC,Paul_lost_his_wallet_with_his_credit_cards.,He_canceled_the_credit_cards_immediately.,7,wise,to_cancel_the_credit_cards_immediately,C
29,3MAOD8E57QB59FJHSDLECE935Q0NX9,10,50,"""HINDI""","""Yes""","""Very+fair.""",Trial1,11 15-fortunate-CxD CxD Sue_spontaneously_went_on_a_hike_in_the_mountains. She_was_wearing_flip-flops. 1 fortunate to_be_wearing_flip-flops,1,11,15-fortunate-CxD,CxD,Sue_spontaneously_went_on_a_hike_in_the_mountains.,She_was_wearing_flip-flops.,1,fortunate,to_be_wearing_flip-flops,D
26,3WEV0KO0OMTORM65991OH1GHC7WDS9,8,24,"""English""","""Yes""","""""",Trial1,9 13-fortunate-CnD CnD Sue_was_bitten_by_a_shark. She_lost_a_leg. 7 fortunate to_lose_a_leg,1,9,13-fortunate-CnD,CnD,Sue_was_bitten_by_a_shark.,She_lost_a_leg.,7,fortunate,to_lose_a_leg,D
148,39GHHAVOMFSISN4MT4RHMWVO3BQJ4M,7,27,"""English""","""Yes""","""Fun+to+do""",Trial1,8 31-wise-CxC CxC Paul_bought_an_expensive_TV. He_asked_about_the_return_policy. 5 wise to_ask_about_the_return_policy,1,8,31-wise-CxC,CxC,Paul_bought_an_expensive_TV.,He_asked_about_the_return_policy.,5,wise,to_ask_about_the_return_policy,C
34,3N2BF7Y2VQV257Y2B8OSWDW9CA8HMB,2,29,"""English""","""Yes""","""""",Trial1,3 41-foolish-CnD CnD Kate's_doctor_told_her_to_lose_weight. She_started_exercising. 1 foolish to_start_exercising,1,3,41-foolish-CnD,CnD,Kate's_doctor_told_her_to_lose_weight.,She_started_exercising.,1,foolish,to_start_exercising,D
129,37W3JXSD669KWEI5PAY3RBT308YYWH,9,69,"""English""","""Yes""","""Very+interesting!""",Trial1,filler filler1No filler Earl_had_a_bad_toothache. He_forgot_to_call_his_dentist. 1 forget to_call_his_dentist,1,filler,filler1No,filler,Earl_had_a_bad_toothache.,He_forgot_to_call_his_dentist.,1,forget,to_call_his_dentist,filler
105,3II4UPYCOJ8CE6RSH5CJM11GUJBDQK,6,27,"""english""","""Yes""","""""",Trial1,7 4-smart-CnC CnC Jane_was_baby-sitting_for_her_sister. She_kept_an_eye_on_the_baby_at_all_times. 1 smart to_keep_an_eye_on_the_baby_at_all_times,1,7,4-smart-CnC,CnC,Jane_was_baby-sitting_for_her_sister.,She_kept_an_eye_on_the_baby_at_all_times.,1,smart,to_keep_an_eye_on_the_baby_at_all_times,C
77,3ATTHHXXWAPDVE8QVX8M76DMJR6IXO,10,57,"""english""","""Yes""","""Some+of+those+sentences+were+worded+so+that+it+was+hard+to+tell+if+a+word+had+been+left+out+or+what.++It+changes+the+meaning%2C+depending+on+how+you+read+it....""",Trial1,filler filler2Yes filler Charles_served_in_Iraq. He_was_proud_to_have_been_a_solider. 7 proud to_have_been_a_soldier,1,filler,filler2Yes,filler,Charles_served_in_Iraq.,He_was_proud_to_have_been_a_solider.,7,proud,to_have_been_a_soldier,filler
138,3FTOP5WARFP1TZMLA34FAT5BMZAJ06,0,65,"""English""","""Yes""","""""",Trial1,filler filler2Yes filler Charles_served_in_Iraq. He_was_proud_to_have_been_a_solider. 7 proud to_have_been_a_soldier,1,filler,filler2Yes,filler,Charles_served_in_Iraq.,He_was_proud_to_have_been_a_solider.,7,proud,to_have_been_a_soldier,filler
65,3D3VGR7TA0GE8F4V1VV7EIP9ZSP3RE,3,25,"""English""","""Yes""","""""",Trial1,filler filler2No filler Ross_was_doing_his_laundry. He_didn't_manage_to_find_coins_anywhere. 1 manage to_find_coins_anywhere,1,filler,filler2No,filler,Ross_was_doing_his_laundry.,He_didn't_manage_to_find_coins_anywhere.,1,manage,to_find_coins_anywhere,filler
31,33LKR6A5KELVER38IGMJQ4BUPT81TX,1,49,"""english""","""Yes""","""""",Trial1,2 1-smart-CxD CxD Jane's_neighbor_complained_about_the_loud_music. She_turned_up_the_volume. 2 smart to_turn_up_the_volume,1,2,1-smart-CxD,CxD,Jane's_neighbor_complained_about_the_loud_music.,She_turned_up_the_volume.,2,smart,to_turn_up_the_volume,D
139,3IHR8NYAM72EEY7KOHW1JSH0CAX4P8,10,20,"""English""","""Yes""","""""",Trial1,11 1-smart-CxC CxC Jane's_father_couldn't_hear_the_TV. She_turned_up_the_volume. 2 smart to_turn_up_the_volume,1,11,1-smart-CxC,CxC,Jane's_father_couldn't_hear_the_TV.,She_turned_up_the_volume.,2,smart,to_turn_up_the_volume,C
70,3Q8GYXHFEP3DGS2GXHT54KO7DNDC57,0,60,"""English""","""Yes""","""None""",Trial1,1 7-stupid-CxC CxC Zack_had_the_measles. He_went_to_school. 7 stupid to_go_to_school,1,1,7-stupid-CxC,CxC,Zack_had_the_measles.,He_went_to_school.,7,stupid,to_go_to_school,C
102,3TPZPLC3M0DTW2OGO3RI9NPUYA0P37,8,31,"""English""","""Yes""","""Thank+you%2C+very+easy+to+understand+study.""",Trial1,filler filler2No filler Ross_was_doing_his_laundry. He_didn't_manage_to_find_coins_anywhere. 1 manage to_find_coins_anywhere,1,filler,filler2No,filler,Ross_was_doing_his_laundry.,He_didn't_manage_to_find_coins_anywhere.,1,manage,to_find_coins_anywhere,filler
75,3SNLUL3WO4ON4BM1BVUCFF6A6DJLUD,10,20,"""English""","""Yes""","""This+was+very+interesting.""",Trial1,11 45-polite-CxC CxC Chad_watched_a_street_comedian. He_laughed. 6 polite to_laugh,1,11,45-polite-CxC,CxC,Chad_watched_a_street_comedian.,He_laughed.,6,polite,to_laugh,C
11,3DL65MZB8DGDCBV98IM88EUKQGBEC9,5,23,"""English""","""Yes""","""""",Trial1,filler filler3Yes filler Tess_participated_in_a_marathon. She_was_happy_to_cross_the_finish_line. 7 happy to_cross_the_finish_line,1,filler,filler3Yes,filler,Tess_participated_in_a_marathon.,She_was_happy_to_cross_the_finish_line.,7,happy,to_cross_the_finish_line,filler
